id,time,price
"USDEUR",14:57:08.722,1.17
"USDEUR",14:57:09.722,1.169978
"USDEUR",14:57:10.722,1.169983
"USDEUR",14:57:11.722,1.170039
"USDEUR",14:57:12.722,1.16992
"USDEUR",14:57:13.722,1.16994
"USDEUR",14:57:14.722,1.169797
"USDEUR",14:57:15.722,1.169804
"USDEUR",14:57:16.722,1.169616
"USDEUR",14:57:17.722,1.169738
"USDEUR",14:57:18.722,1.169753
"USDEUR",14:57:19.722,1.169804
"USDEUR",14:57:20.722,1.169684
"USDEUR",14:57:21.722,1.169694
"USDEUR",14:57:22.722,1.169731
"USDEUR",14:57:23.722,1.169903
"USDEUR",14:57:24.722,1.170033
"USDEUR",14:57:25.722,1.169754
"USDEUR",14:57:26.722,1.169736
"USDEUR",14:57:27.722,1.169659
"USDEUR",14:57:28.722,1.169638
"USDEUR",14:57:29.722,1.169692
"USDEUR",14:57:30.722,1.169746
"USDEUR",14:57:31.722,1.169715
"USDEUR",14:57:32.722,1.169439
"USDEUR",14:57:33.722,1.169546
"USDEUR",14:57:34.722,1.169613
"USDEUR",14:57:35.722,1.169707
"USDEUR",14:57:36.722,1.169787
"USDEUR",14:57:37.722,1.169738
"USDEUR",14:57:38.722,1.169882
"USDEUR",14:57:39.722,1.169808
"USDEUR",14:57:40.722,1.169785
"USDEUR",14:57:41.722,1.169635
"USDEUR",14:57:42.722,1.169664
"USDEUR",14:57:43.722,1.169518
"USDEUR",14:57:44.722,1.169639
"USDEUR",14:57:45.722,1.16949
"USDEUR",14:57:46.722,1.169665
"USDEUR",14:57:47.722,1.169764
"USDEUR",14:57:48.722,1.169824
"USDEUR",14:57:49.722,1.169778
"USDEUR",14:57:50.722,1.169826
"USDEUR",14:57:51.722,1.169778
"USDEUR",14:57:52.722,1.170022
"USDEUR",14:57:53.722,1.169964
"USDEUR",14:57:54.722,1.170063
"USDEUR",14:57:55.722,1.170068
"USDEUR",14:57:56.722,1.170051
"USDEUR",14:57:57.722,1.170081
"USDEUR",14:57:58.722,1.17011
"USDEUR",14:57:59.722,1.170113
"USDEUR",14:58:00.722,1.170123
"USDEUR",14:58:01.722,1.170223
"USDEUR",14:58:02.722,1.1702
"USDEUR",14:58:03.722,1.170085
"USDEUR",14:58:04.722,1.170159
"USDEUR",14:58:05.722,1.170137
"USDEUR",14:58:06.722,1.170082
"USDEUR",14:58:07.722,1.170146
"USDEUR",14:58:08.722,1.17004
"USDEUR",14:58:09.722,1.170024
"USDEUR",14:58:10.722,1.170081
"USDEUR",14:58:11.722,1.170374
"USDEUR",14:58:12.722,1.170362
"USDEUR",14:58:13.722,1.170402
"USDEUR",14:58:14.722,1.170278
"USDEUR",14:58:15.722,1.170428
"USDEUR",14:58:16.722,1.17049
"USDEUR",14:58:17.722,1.17028
"USDEUR",14:58:18.722,1.170373
